frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
42, 0, 0.820, 0.98, 1, -71.0, -144.7, 945.7, 0.388, -0.299, 0.036, 0.00, 0.00, 2.46, 0.00, 0.00, 0.00, 0.00, 0.75, 0.00, 1.41, 0.00, 0.07, 0.00, 0.04, 0.79, 0.59, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
43, 0, 0.840, 0.98, 1, -70.9, -144.4, 943.6, 0.386, -0.293, 0.037, 0.00, 0.00, 2.38, 0.00, 0.00, 0.00, 0.00, 0.75, 0.00, 1.25, 0.00, 0.10, 0.00, 0.08, 0.76, 0.49, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
44, 0, 0.860, 0.98, 1, -71.2, -145.2, 948.0, 0.391, -0.295, 0.038, 0.00, 0.00, 2.36, 0.00, 0.00, 0.00, 0.00, 0.79, 0.00, 1.07, 0.00, 0.10, 0.00, 0.07, 0.71, 0.39, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
45, 0, 0.880, 0.98, 1, -71.6, -146.2, 952.6, 0.393, -0.301, 0.041, 0.00, 0.00, 2.32, 0.00, 0.00, 0.00, 0.00, 0.93, 0.00, 0.96, 0.00, 0.04, 0.00, 0.04, 0.56, 0.33, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
46, 0, 0.900, 0.98, 1, -71.4, -146.6, 952.8, 0.399, -0.299, 0.041, 0.00, 0.00, 2.35, 0.00, 0.00, 0.00, 0.00, 1.04, 0.00, 0.91, 0.00, 0.00, 0.00, 0.00, 0.57, 0.38, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
47, 0, 0.920, 0.98, 1, -71.6, -146.9, 952.0, 0.391, -0.300, 0.044, 0.00, 0.00, 2.36, 0.00, 0.00, 0.00, 0.00, 1.06, 0.00, 1.03, 0.00, 0.00, 0.00, 0.00, 0.64, 0.37, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
48, 0, 0.940, 0.98, 1, -72.1, -147.5, 954.2, 0.393, -0.303, 0.045, 0.00, 0.00, 2.49, 0.00, 0.00, 0.00, 0.00, 1.09, 0.00, 1.28, 0.00, 0.08, 0.00, 0.00, 0.71, 0.38, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
49, 0, 0.960, 0.98, 1, -72.4, -148.0, 956.0, 0.393, -0.301, 0.041, 0.00, 0.00, 2.60, 0.00, 0.00, 0.00, 0.00, 1.03, 0.00, 1.48, 0.00, 0.14, 0.00, 0.00, 0.84, 0.41, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
50, 0, 0.980, 0.98, 1, -72.7, -148.4, 957.5, 0.392, -0.312, 0.047, 0.00, 0.00, 2.62, 0.00, 0.00, 0.00, 0.00, 1.08, 0.00, 1.69, 0.00, 0.21, 0.00, 0.00, 0.75, 0.43, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
51, 0, 1.000, 0.88, 1, -72.4, -147.9, 953.5, 0.396, -0.305, 0.047, 0.00, 0.00, 2.66, 0.00, 0.00, 0.00, 0.00, 1.09, 0.00, 1.69, 0.00, 0.15, 0.00, 0.00, 0.69, 0.47, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
52, 0, 1.020, 0.88, 1, -72.6, -148.1, 956.7, 0.405, -0.301, 0.046, 0.00, 0.00, 2.71, 0.00, 0.00, 0.00, 0.00, 1.17, 0.00, 1.80, 0.00, 0.13, 0.00, 0.00, 0.40, 0.40, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
53, 0, 1.040, 0.88, 1, -72.2, -148.1, 956.7, 0.400, -0.303, 0.043, 0.00, 0.00, 2.75, 0.00, 0.00, 0.00, 0.00, 1.22, 0.00, 1.88, 0.00, 0.20, 0.00, 0.00, 0.32, 0.36, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
54, 0, 1.060, 0.98, 1, -72.4, -149.0, 962.4, 0.398, -0.316, 0.044, 0.00, 0.00, 2.69, 0.00, 0.00, 0.00, 0.00, 1.25, 0.00, 1.85, 0.00, 0.30, 0.00, 0.00, 0.15, 0.23, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
55, 0, 1.080, 0.98, 1, -72.7, -150.0, 968.1, 0.396, -0.315, 0.040, 0.00, 0.00, 2.62, 0.00, 0.00, 0.00, 0.00, 1.15, 0.00, 1.76, 0.00, 0.44, 0.00, 0.06, 0.27, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56, 0, 1.100, 0.98, 1, -72.5, -149.3, 963.6, 0.393, -0.322, 0.041, 0.00, 0.00, 2.56, 0.00, 0.00, 0.00, 0.00, 1.19, 0.00, 1.58, 0.00, 0.51, 0.00, 0.27, 0.38, 0.20, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57, 0, 1.120, 0.98, 1, -72.7, -148.3, 958.7, 0.376, -0.323, 0.041, 0.00, 0.00, 2.52, 0.00, 0.00, 0.00, 0.00, 1.13, 0.00, 1.45, 0.00, 0.58, 0.00, 0.52, 0.62, 0.30, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
